-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Model Filename                                                      Arch    Output Stems (SDR)                                            Friendly Name
MelBandRoformerSYHFTV2.ckpt                                         MDXC    vocals* (8.6), other                                          Roformer Model: MelBand Roformer Kim | SYHFT V2 by SYH99999
MelBandRoformerSYHFTV2.5.ckpt                                       MDXC    vocals* (8.5), other                                          Roformer Model: MelBand Roformer Kim | SYHFT V2.5 by SYH99999
MelBandRoformerSYHFTV3Epsilon.ckpt                                  MDXC    vocals* (9.5), other                                          Roformer Model: MelBand Roformer Kim | SYHFT V3 by SYH99999
MelBandRoformerBigSYHFTV1.ckpt                                      MDXC    vocals* (12.3), other                                         Roformer Model: MelBand Roformer Kim | Big SYHFT V1 by SYH99999
melband_roformer_big_beta4.ckpt                                     MDXC    vocals* (12.5), other                                         Roformer Model: MelBand Roformer Kim | Big Beta 4 FT by unwa
melband_roformer_big_beta5e.ckpt                                    MDXC    vocals* (12.4), other                                         Roformer Model: MelBand Roformer Kim | Big Beta 5e FT by unwa
melband_roformer_big_beta6.ckpt                                     MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Big Beta 6 by unwa
melband_roformer_big_beta6x.ckpt                                    MDXC    Unknown                                                       Roformer Model: MelBand Roformer | Big Beta 6X by unwa
model_chorus_bs_roformer_ep_267_sdr_24.1275.ckpt                    MDXC    male, female                                                  Roformer Model: BS Roformer | Chorus Male-Female by Sucial
bs_roformer_male_female_by_aufr33_sdr_7.2889.ckpt                   MDXC    Unknown                                                       Roformer Model: BS Roformer | Male-Female by aufr33
aspiration_mel_band_roformer_sdr_18.9845.ckpt                       MDXC    aspiration, other                                             Roformer Model: MelBand Roformer | Aspiration by Sucial
aspiration_mel_band_roformer_less_aggr_sdr_18.1201.ckpt             MDXC    aspiration, other                                             Roformer Model: MelBand Roformer | Aspiration Less Aggressive by Sucial
mel_band_roformer_bleed_suppressor_v1.ckpt                          MDXC    instrumental*, bleed                                          Roformer Model: MelBand Roformer | Bleed Suppressor V1 by unwa-97chris
bs_roformer_vocals_resurrection_unwa.ckpt                           MDXC    Unknown                                                       Roformer Model: BS Roformer | Vocals Resurrection by unwa
bs_roformer_instrumental_resurrection_unwa.ckpt                     MDXC    Unknown                                                       Roformer Model: BS Roformer | Instrumental Resurrection by unwa
BS-Roformer-SW.ckpt                                                 MDXC    Unknown                                                       Roformer Model: BS Roformer SW by jarredou
